id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
Prod0;Prod0;['EntsoG_Map_Prod_0'];['Prod_0'];54.183069999999994;-11.04853;XX;None;{'exact': 3, 'nuts_id_3': 'XX', 'nuts_id_1': 'XX', 'nuts_id_2': 'XX'};{'exact': 0, 'nuts_id_3': 100, 'nuts_id_1': 100, 'nuts_id_2': 100};{'exact': 'make_Attrib(const)', 'nuts_id_3': 'M_Consumers.add_Nuts_Num(): Estimated', 'nuts_id_1': 'M_Consumers.add_Nuts_Num(): Estimated', 'nuts_id_2': 'M_Consumers.add_Nuts_Num(): Estimated'};{}
Prod1;Prod1;['EntsoG_Map_Prod_1'];['Prod_1'];43.155390000000004;28.09757;XX;None;{'exact': 3, 'nuts_id_3': 'BG331', 'nuts_id_1': 'BG3', 'nuts_id_2': 'BG33'};{'exact': 0, 'nuts_id_3': 0, 'nuts_id_1': 0, 'nuts_id_2': 0};{'exact': 'make_Attrib(const)', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()'};{}
Prod2;Prod2;['EntsoG_Map_Prod_2'];['Prod_2'];34.39425;12.496889999999999;XX;None;{'exact': 3, 'nuts_id_3': 'XX', 'nuts_id_1': 'XX', 'nuts_id_2': 'XX'};{'exact': 0, 'nuts_id_3': 100, 'nuts_id_1': 100, 'nuts_id_2': 100};{'exact': 'make_Attrib(const)', 'nuts_id_3': 'M_Consumers.add_Nuts_Num(): Estimated', 'nuts_id_1': 'M_Consumers.add_Nuts_Num(): Estimated', 'nuts_id_2': 'M_Consumers.add_Nuts_Num(): Estimated'};{}
Prod3;Prod3;['EntsoG_Map_Prod_3'];['Prod_3'];45.42187;36.37273;UA;None;{'exact': 3, 'nuts_id_3': 'UA', 'nuts_id_1': 'UA', 'nuts_id_2': 'UA'};{'exact': 0, 'nuts_id_3': 100, 'nuts_id_1': 100, 'nuts_id_2': 100};{'exact': 'make_Attrib(const)', 'nuts_id_3': 'M_Consumers.add_Nuts_Num(): Estimated', 'nuts_id_1': 'M_Consumers.add_Nuts_Num(): Estimated', 'nuts_id_2': 'M_Consumers.add_Nuts_Num(): Estimated'};{}
Prod4;Prod4;['EntsoG_Map_Prod_4'];['Prod_4'];43.15453;28.396140000000003;XX;None;{'exact': 3, 'nuts_id_3': 'BG332', 'nuts_id_1': 'BG3', 'nuts_id_2': 'BG33'};{'exact': 0, 'nuts_id_3': 0, 'nuts_id_1': 0, 'nuts_id_2': 0};{'exact': 'make_Attrib(const)', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()'};{}
Prod5;Prod5;['EntsoG_Map_Prod_5'];['Prod_5'];43.1029;28.060879999999997;XX;None;{'exact': 3, 'nuts_id_3': 'BG331', 'nuts_id_1': 'BG3', 'nuts_id_2': 'BG33'};{'exact': 0, 'nuts_id_3': 0, 'nuts_id_1': 0, 'nuts_id_2': 0};{'exact': 'make_Attrib(const)', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()'};{}
Prod6;Prod6;['EntsoG_Map_Prod_6'];['Prod_6'];52.27738;3.798;XX;None;{'exact': 3, 'nuts_id_3': 'NL33C', 'nuts_id_1': 'NL3', 'nuts_id_2': 'NL33'};{'exact': 0, 'nuts_id_3': 0, 'nuts_id_1': 0, 'nuts_id_2': 0};{'exact': 'make_Attrib(const)', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()'};{}
Prod7;Prod7;['EntsoG_Map_Prod_7'];['Prod_7'];45.51566;34.977779999999996;UA;None;{'exact': 3, 'nuts_id_3': 'UA', 'nuts_id_1': 'UA', 'nuts_id_2': 'UA'};{'exact': 0, 'nuts_id_3': 100, 'nuts_id_1': 100, 'nuts_id_2': 100};{'exact': 'make_Attrib(const)', 'nuts_id_3': 'M_Consumers.add_Nuts_Num(): Estimated', 'nuts_id_1': 'M_Consumers.add_Nuts_Num(): Estimated', 'nuts_id_2': 'M_Consumers.add_Nuts_Num(): Estimated'};{}
Prod8;Prod8;['EntsoG_Map_Prod_8'];['Prod_8'];55.51781999999999;4.158980000000001;XX;None;{'exact': 3, 'nuts_id_3': 'XX', 'nuts_id_1': 'XX', 'nuts_id_2': 'XX'};{'exact': 0, 'nuts_id_3': 100, 'nuts_id_1': 100, 'nuts_id_2': 100};{'exact': 'make_Attrib(const)', 'nuts_id_3': 'M_Consumers.add_Nuts_Num(): Estimated', 'nuts_id_1': 'M_Consumers.add_Nuts_Num(): Estimated', 'nuts_id_2': 'M_Consumers.add_Nuts_Num(): Estimated'};{}
Prod9;Prod9;['EntsoG_Map_Prod_9'];['Prod_9'];53.722590000000004;-3.5156099999999997;XX;None;{'exact': 3, 'nuts_id_3': 'UKD12', 'nuts_id_1': 'UKD', 'nuts_id_2': 'UKD1'};{'exact': 0, 'nuts_id_3': 0, 'nuts_id_1': 0, 'nuts_id_2': 0};{'exact': 'make_Attrib(const)', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()'};{}
