id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
Stor_EU0;Stor_EU0;['EntsoG_Map_Stor_EU_0'];['Stor_EU_0'];38.14563;33.78761;TR;None;{'exact': 3, 'nuts_id_3': 'TR712', 'nuts_id_1': 'TR7', 'nuts_id_2': 'TR71'};{'exact': 0, 'nuts_id_3': 0, 'nuts_id_1': 0, 'nuts_id_2': 0};{'exact': 'make_Attrib(const)', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()'};{}
Stor_EU1;Stor_EU1;['EntsoG_Map_Stor_EU_1'];['Stor_EU_1'];54.95985;-5.98993;GB;None;{'exact': 3, 'nuts_id_3': 'UKN15', 'nuts_id_1': 'UKN', 'nuts_id_2': 'UKN0'};{'exact': 0, 'nuts_id_3': 0, 'nuts_id_1': 0, 'nuts_id_2': 0};{'exact': 'make_Attrib(const)', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()'};{}
Stor_EU2;Stor_EU2;['EntsoG_Map_Stor_EU_2'];['Stor_EU_2'];37.14077;-6.38328;ES;None;{'exact': 3, 'nuts_id_3': 'ES615', 'nuts_id_1': 'ES6', 'nuts_id_2': 'ES61'};{'exact': 0, 'nuts_id_3': 0, 'nuts_id_1': 0, 'nuts_id_2': 0};{'exact': 'make_Attrib(const)', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()'};{}
Stor_EU3;Stor_EU3;['EntsoG_Map_Stor_EU_3'];['Stor_EU_3'];57.10719;24.81943;LV;None;{'exact': 3, 'nuts_id_3': 'LV007', 'nuts_id_1': 'LV0', 'nuts_id_2': 'LV00'};{'exact': 0, 'nuts_id_3': 0, 'nuts_id_1': 0, 'nuts_id_2': 0};{'exact': 'make_Attrib(const)', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()'};{}
Stor_EU5;Stor_EU5;['EntsoG_Map_Stor_EU_5'];['Stor_EU_5'];40.47974;0.6717;XX;None;{'exact': 3, 'nuts_id_3': 'ES514', 'nuts_id_1': 'ES5', 'nuts_id_2': 'ES51'};{'exact': 0, 'nuts_id_3': 0, 'nuts_id_1': 0, 'nuts_id_2': 0};{'exact': 'make_Attrib(const)', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()'};{}
Stor_EU6;Stor_EU6;['EntsoG_Map_Stor_EU_6'];['Stor_EU_6'];55.50316;11.634730000000001;DK;None;{'exact': 3, 'nuts_id_3': 'DK022', 'nuts_id_1': 'DK0', 'nuts_id_2': 'DK02'};{'exact': 0, 'nuts_id_3': 0, 'nuts_id_1': 0, 'nuts_id_2': 0};{'exact': 'make_Attrib(const)', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()'};{}
Stor_EU7;Stor_EU7;['EntsoG_Map_Stor_EU_7'];['Stor_EU_7'];49.9639;22.39591;PL;None;{'exact': 3, 'nuts_id_3': 'PL822', 'nuts_id_1': 'PL8', 'nuts_id_2': 'PL82'};{'exact': 0, 'nuts_id_3': 0, 'nuts_id_1': 0, 'nuts_id_2': 0};{'exact': 'make_Attrib(const)', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()'};{}
Stor_EU8;Stor_EU8;['EntsoG_Map_Stor_EU_8'];['Stor_EU_8'];49.61439;22.06671;PL;None;{'exact': 3, 'nuts_id_3': 'PL821', 'nuts_id_1': 'PL8', 'nuts_id_2': 'PL82'};{'exact': 0, 'nuts_id_3': 0, 'nuts_id_1': 0, 'nuts_id_2': 0};{'exact': 'make_Attrib(const)', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()'};{}
Stor_EU9;Stor_EU9;['EntsoG_Map_Stor_EU_9'];['Stor_EU_9'];43.76063;-2.4575299999999998;XX;None;{'exact': 3, 'nuts_id_3': 'ES212', 'nuts_id_1': 'ES2', 'nuts_id_2': 'ES21'};{'exact': 0, 'nuts_id_3': 0, 'nuts_id_1': 0, 'nuts_id_2': 0};{'exact': 'make_Attrib(const)', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()'};{}
Stor_EU10;Stor_EU10;['EntsoG_Map_Stor_EU_10'];['Stor_EU_10'];43.842940000000006;5.80321;FR;None;{'exact': 3, 'nuts_id_3': 'FRL01', 'nuts_id_1': 'FRL', 'nuts_id_2': 'FRL0'};{'exact': 0, 'nuts_id_3': 0, 'nuts_id_1': 0, 'nuts_id_2': 0};{'exact': 'make_Attrib(const)', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()'};{}
