id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
INET_CO_0;Aberdeen;['INET_CO_0'];['INET_N_2'];57.136005;-2.379728;GB;None;{'end_year': None, 'is_H_gas': 1.0, 'max_cap_M_m3_per_d': 37.199999999999996, 'max_power_MW': 38.34752021041664, 'max_pressure_bar': 94.70588235294117, 'num_turb': 3, 'start_year': None, 'turbine_fuel_isGas_1': 1, 'turbine_fuel_isGas_2': 1, 'turbine_fuel_isGas_3': 1, 'turbine_fuel_isGas_4': 1, 'turbine_fuel_isGas_5': 1, 'turbine_fuel_isGas_6': 1, 'turbine_power_1_MW': 11.800000000000006, 'turbine_power_2_MW': 11.800000000000006, 'turbine_power_3_MW': 12.547826086956523, 'turbine_power_4_MW': 0, 'turbine_power_5_MW': 0, 'turbine_power_6_MW': 0, 'turbine_power_7_MW': None, 'turbine_power_8_MW': None, 'turbine_power_9_MW': None, 'nuts_id_1': 'UKM', 'nuts_id_2': 'UKM5', 'nuts_id_3': 'UKM50'};{'end_year': None, 'is_H_gas': 0, 'max_cap_M_m3_per_d': 39.53066666666667, 'max_power_MW': 4.759198727079524, 'max_pressure_bar': 6.4878892733564015, 'num_turb': 0.8055555555555556, 'start_year': None, 'turbine_fuel_isGas_1': 0.5, 'turbine_fuel_isGas_2': 0.5, 'turbine_fuel_isGas_3': 0.5, 'turbine_fuel_isGas_4': 0.5, 'turbine_fuel_isGas_5': 0.5, 'turbine_fuel_isGas_6': 0.5, 'turbine_power_1_MW': 4.32962962962963, 'turbine_power_2_MW': 4.25904761904762, 'turbine_power_3_MW': 4.474732199117832, 'turbine_power_4_MW': 0.5, 'turbine_power_5_MW': 0.5, 'turbine_power_6_MW': 0.5, 'turbine_power_7_MW': None, 'turbine_power_8_MW': None, 'turbine_power_9_MW': None};{'end_year': None, 'is_H_gas': 'raw', 'max_cap_M_m3_per_d': 'Median(max_cap_M_m3_per_d)', 'max_power_MW': 'Lasso(num_turb, turbine_power_4_MW)', 'max_pressure_bar': 'Median(max_pressure_bar)', 'num_turb': 'Median(num_turb)', 'start_year': None, 'turbine_fuel_isGas_1': 'make_Attrib(const)', 'turbine_fuel_isGas_2': 'make_Attrib(const)', 'turbine_fuel_isGas_3': 'make_Attrib(const)', 'turbine_fuel_isGas_4': 'make_Attrib(const)', 'turbine_fuel_isGas_5': 'make_Attrib(const)', 'turbine_fuel_isGas_6': 'make_Attrib(const)', 'turbine_power_1_MW': 'Median(turbine_power_1_MW)', 'turbine_power_2_MW': 'Median(turbine_power_2_MW)', 'turbine_power_3_MW': 'Median(turbine_power_3_MW)', 'turbine_power_4_MW': 'make_Attrib(const)', 'turbine_power_5_MW': 'make_Attrib(const)', 'turbine_power_6_MW': 'make_Attrib(const)', 'turbine_power_7_MW': None, 'turbine_power_8_MW': None, 'turbine_power_9_MW': None};{}
INET_CO_1;Achim;['INET_CO_1'];['INET_N_472'];53.0268;9.022361;DE;None;{'end_year': None, 'is_H_gas': 1.0, 'max_cap_M_m3_per_d': 30.381233315162874, 'max_power_MW': 38.34752021041664, 'max_pressure_bar': 99.03451588255265, 'num_turb': 3, 'start_year': None, 'turbine_fuel_isGas_1': 1, 'turbine_fuel_isGas_2': 1, 'turbine_fuel_isGas_3': 1, 'turbine_fuel_isGas_4': 1, 'turbine_fuel_isGas_5': 1, 'turbine_fuel_isGas_6': 1, 'turbine_power_1_MW': 11.800000000000006, 'turbine_power_2_MW': 11.800000000000006, 'turbine_power_3_MW': 12.547826086956523, 'turbine_power_4_MW': 0, 'turbine_power_5_MW': 0, 'turbine_power_6_MW': 0, 'turbine_power_7_MW': None, 'turbine_power_8_MW': None, 'turbine_power_9_MW': None, 'nuts_id_1': 'DE9', 'nuts_id_2': 'DE93', 'nuts_id_3': 'DE93B'};{'end_year': None, 'is_H_gas': 0, 'max_cap_M_m3_per_d': 5.145807189998717, 'max_power_MW': 4.759198727079524, 'max_pressure_bar': 2.420407386777652, 'num_turb': 0.8055555555555556, 'start_year': None, 'turbine_fuel_isGas_1': 0.5, 'turbine_fuel_isGas_2': 0.5, 'turbine_fuel_isGas_3': 0.5, 'turbine_fuel_isGas_4': 0.5, 'turbine_fuel_isGas_5': 0.5, 'turbine_fuel_isGas_6': 0.5, 'turbine_power_1_MW': 4.32962962962963, 'turbine_power_2_MW': 4.25904761904762, 'turbine_power_3_MW': 4.474732199117832, 'turbine_power_4_MW': 0.5, 'turbine_power_5_MW': 0.5, 'turbine_power_6_MW': 0.5, 'turbine_power_7_MW': None, 'turbine_power_8_MW': None, 'turbine_power_9_MW': None};{'end_year': None, 'is_H_gas': 'raw', 'max_cap_M_m3_per_d': 'Lasso(num_turb, Pipe_max_pressure_bar)', 'max_power_MW': 'Lasso(num_turb, turbine_power_4_MW)', 'max_pressure_bar': 'Lasso(Pipe_max_pressure_bar, Pipe_diameter_mm)', 'num_turb': 'Median(num_turb)', 'start_year': None, 'turbine_fuel_isGas_1': 'make_Attrib(const)', 'turbine_fuel_isGas_2': 'make_Attrib(const)', 'turbine_fuel_isGas_3': 'make_Attrib(const)', 'turbine_fuel_isGas_4': 'make_Attrib(const)', 'turbine_fuel_isGas_5': 'make_Attrib(const)', 'turbine_fuel_isGas_6': 'make_Attrib(const)', 'turbine_power_1_MW': 'Median(turbine_power_1_MW)', 'turbine_power_2_MW': 'Median(turbine_power_2_MW)', 'turbine_power_3_MW': 'Median(turbine_power_3_MW)', 'turbine_power_4_MW': 'make_Attrib(const)', 'turbine_power_5_MW': 'make_Attrib(const)', 'turbine_power_6_MW': 'make_Attrib(const)', 'turbine_power_7_MW': None, 'turbine_power_8_MW': None, 'turbine_power_9_MW': None};{}
INET_CO_2;Ajdovscina;['INET_CO_2'];['SEQ_5742_p'];45.96004;13.86216;SI;None;{'end_year': None, 'is_H_gas': 1.0, 'max_cap_M_m3_per_d': 37.199999999999996, 'max_power_MW': 38.34752021041664, 'max_pressure_bar': 94.70588235294117, 'num_turb': 3, 'start_year': None, 'turbine_fuel_isGas_1': 1, 'turbine_fuel_isGas_2': 1, 'turbine_fuel_isGas_3': 1, 'turbine_fuel_isGas_4': 1, 'turbine_fuel_isGas_5': 1, 'turbine_fuel_isGas_6': 1, 'turbine_power_1_MW': 11.800000000000006, 'turbine_power_2_MW': 11.800000000000006, 'turbine_power_3_MW': 12.547826086956523, 'turbine_power_4_MW': 0, 'turbine_power_5_MW': 0, 'turbine_power_6_MW': 0, 'turbine_power_7_MW': None, 'turbine_power_8_MW': None, 'turbine_power_9_MW': None, 'nuts_id_1': 'SI0', 'nuts_id_2': 'SI04', 'nuts_id_3': 'SI043'};{'end_year': None, 'is_H_gas': 0, 'max_cap_M_m3_per_d': 39.53066666666667, 'max_power_MW': 4.759198727079524, 'max_pressure_bar': 6.4878892733564015, 'num_turb': 0.8055555555555556, 'start_year': None, 'turbine_fuel_isGas_1': 0.5, 'turbine_fuel_isGas_2': 0.5, 'turbine_fuel_isGas_3': 0.5, 'turbine_fuel_isGas_4': 0.5, 'turbine_fuel_isGas_5': 0.5, 'turbine_fuel_isGas_6': 0.5, 'turbine_power_1_MW': 4.32962962962963, 'turbine_power_2_MW': 4.25904761904762, 'turbine_power_3_MW': 4.474732199117832, 'turbine_power_4_MW': 0.5, 'turbine_power_5_MW': 0.5, 'turbine_power_6_MW': 0.5, 'turbine_power_7_MW': None, 'turbine_power_8_MW': None, 'turbine_power_9_MW': None};{'end_year': None, 'is_H_gas': 'raw', 'max_cap_M_m3_per_d': 'Median(max_cap_M_m3_per_d)', 'max_power_MW': 'Lasso(num_turb, turbine_power_4_MW)', 'max_pressure_bar': 'Median(max_pressure_bar)', 'num_turb': 'Median(num_turb)', 'start_year': None, 'turbine_fuel_isGas_1': 'make_Attrib(const)', 'turbine_fuel_isGas_2': 'make_Attrib(const)', 'turbine_fuel_isGas_3': 'make_Attrib(const)', 'turbine_fuel_isGas_4': 'make_Attrib(const)', 'turbine_fuel_isGas_5': 'make_Attrib(const)', 'turbine_fuel_isGas_6': 'make_Attrib(const)', 'turbine_power_1_MW': 'Median(turbine_power_1_MW)', 'turbine_power_2_MW': 'Median(turbine_power_2_MW)', 'turbine_power_3_MW': 'Median(turbine_power_3_MW)', 'turbine_power_4_MW': 'make_Attrib(const)', 'turbine_power_5_MW': 'make_Attrib(const)', 'turbine_power_6_MW': 'make_Attrib(const)', 'turbine_power_7_MW': None, 'turbine_power_8_MW': None, 'turbine_power_9_MW': None};{}
INET_CO_3;Alcazar De San Juan;['INET_CO_3'];['INET_N_26'];39.390075;-3.350098;ES;None;{'end_year': None, 'is_H_gas': 1.0, 'max_cap_M_m3_per_d': 37.199999999999996, 'max_power_MW': 38.34752021041664, 'max_pressure_bar': 94.70588235294117, 'num_turb': 3, 'start_year': None, 'turbine_fuel_isGas_1': 1, 'turbine_fuel_isGas_2': 1, 'turbine_fuel_isGas_3': 1, 'turbine_fuel_isGas_4': 1, 'turbine_fuel_isGas_5': 1, 'turbine_fuel_isGas_6': 1, 'turbine_power_1_MW': 11.800000000000006, 'turbine_power_2_MW': 11.800000000000006, 'turbine_power_3_MW': 12.547826086956523, 'turbine_power_4_MW': 0, 'turbine_power_5_MW': 0, 'turbine_power_6_MW': 0, 'turbine_power_7_MW': None, 'turbine_power_8_MW': None, 'turbine_power_9_MW': None, 'nuts_id_1': 'ES4', 'nuts_id_2': 'ES42', 'nuts_id_3': 'ES422'};{'end_year': None, 'is_H_gas': 0, 'max_cap_M_m3_per_d': 39.53066666666667, 'max_power_MW': 4.759198727079524, 'max_pressure_bar': 6.4878892733564015, 'num_turb': 0.8055555555555556, 'start_year': None, 'turbine_fuel_isGas_1': 0.5, 'turbine_fuel_isGas_2': 0.5, 'turbine_fuel_isGas_3': 0.5, 'turbine_fuel_isGas_4': 0.5, 'turbine_fuel_isGas_5': 0.5, 'turbine_fuel_isGas_6': 0.5, 'turbine_power_1_MW': 4.32962962962963, 'turbine_power_2_MW': 4.25904761904762, 'turbine_power_3_MW': 4.474732199117832, 'turbine_power_4_MW': 0.5, 'turbine_power_5_MW': 0.5, 'turbine_power_6_MW': 0.5, 'turbine_power_7_MW': None, 'turbine_power_8_MW': None, 'turbine_power_9_MW': None};{'end_year': None, 'is_H_gas': 'raw', 'max_cap_M_m3_per_d': 'Median(max_cap_M_m3_per_d)', 'max_power_MW': 'Lasso(num_turb, turbine_power_4_MW)', 'max_pressure_bar': 'Median(max_pressure_bar)', 'num_turb': 'Median(num_turb)', 'start_year': None, 'turbine_fuel_isGas_1': 'make_Attrib(const)', 'turbine_fuel_isGas_2': 'make_Attrib(const)', 'turbine_fuel_isGas_3': 'make_Attrib(const)', 'turbine_fuel_isGas_4': 'make_Attrib(const)', 'turbine_fuel_isGas_5': 'make_Attrib(const)', 'turbine_fuel_isGas_6': 'make_Attrib(const)', 'turbine_power_1_MW': 'Median(turbine_power_1_MW)', 'turbine_power_2_MW': 'Median(turbine_power_2_MW)', 'turbine_power_3_MW': 'Median(turbine_power_3_MW)', 'turbine_power_4_MW': 'make_Attrib(const)', 'turbine_power_5_MW': 'make_Attrib(const)', 'turbine_power_6_MW': 'make_Attrib(const)', 'turbine_power_7_MW': None, 'turbine_power_8_MW': None, 'turbine_power_9_MW': None};{}
INET_CO_4;Aleksandrovka;['INET_CO_4'];['INET_N_1813'];47.536911;31.329194;UA;None;{'end_year': None, 'is_H_gas': 1.0, 'max_cap_M_m3_per_d': 37.199999999999996, 'max_power_MW': 38.34752021041664, 'max_pressure_bar': 94.70588235294117, 'num_turb': 3, 'start_year': None, 'turbine_fuel_isGas_1': 1, 'turbine_fuel_isGas_2': 1, 'turbine_fuel_isGas_3': 1, 'turbine_fuel_isGas_4': 1, 'turbine_fuel_isGas_5': 1, 'turbine_fuel_isGas_6': 1, 'turbine_power_1_MW': 11.800000000000006, 'turbine_power_2_MW': 11.800000000000006, 'turbine_power_3_MW': 12.547826086956523, 'turbine_power_4_MW': 0, 'turbine_power_5_MW': 0, 'turbine_power_6_MW': 0, 'turbine_power_7_MW': None, 'turbine_power_8_MW': None, 'turbine_power_9_MW': None, 'nuts_id_1': 'UA', 'nuts_id_2': 'UA', 'nuts_id_3': 'UA'};{'end_year': None, 'is_H_gas': 0, 'max_cap_M_m3_per_d': 39.53066666666667, 'max_power_MW': 4.759198727079524, 'max_pressure_bar': 6.4878892733564015, 'num_turb': 0.8055555555555556, 'start_year': None, 'turbine_fuel_isGas_1': 0.5, 'turbine_fuel_isGas_2': 0.5, 'turbine_fuel_isGas_3': 0.5, 'turbine_fuel_isGas_4': 0.5, 'turbine_fuel_isGas_5': 0.5, 'turbine_fuel_isGas_6': 0.5, 'turbine_power_1_MW': 4.32962962962963, 'turbine_power_2_MW': 4.25904761904762, 'turbine_power_3_MW': 4.474732199117832, 'turbine_power_4_MW': 0.5, 'turbine_power_5_MW': 0.5, 'turbine_power_6_MW': 0.5, 'turbine_power_7_MW': None, 'turbine_power_8_MW': None, 'turbine_power_9_MW': None};{'end_year': None, 'is_H_gas': 'raw', 'max_cap_M_m3_per_d': 'Median(max_cap_M_m3_per_d)', 'max_power_MW': 'Lasso(num_turb, turbine_power_4_MW)', 'max_pressure_bar': 'Median(max_pressure_bar)', 'num_turb': 'Median(num_turb)', 'start_year': None, 'turbine_fuel_isGas_1': 'make_Attrib(const)', 'turbine_fuel_isGas_2': 'make_Attrib(const)', 'turbine_fuel_isGas_3': 'make_Attrib(const)', 'turbine_fuel_isGas_4': 'make_Attrib(const)', 'turbine_fuel_isGas_5': 'make_Attrib(const)', 'turbine_fuel_isGas_6': 'make_Attrib(const)', 'turbine_power_1_MW': 'Median(turbine_power_1_MW)', 'turbine_power_2_MW': 'Median(turbine_power_2_MW)', 'turbine_power_3_MW': 'Median(turbine_power_3_MW)', 'turbine_power_4_MW': 'make_Attrib(const)', 'turbine_power_5_MW': 'make_Attrib(const)', 'turbine_power_6_MW': 'make_Attrib(const)', 'turbine_power_7_MW': None, 'turbine_power_8_MW': None, 'turbine_power_9_MW': None};{}
INET_CO_5;Algete;['INET_CO_5'];['INET_N_34'];40.585921;-3.545802;ES;None;{'end_year': None, 'is_H_gas': 1.0, 'max_cap_M_m3_per_d': 37.199999999999996, 'max_power_MW': 38.34752021041664, 'max_pressure_bar': 94.70588235294117, 'num_turb': 3, 'start_year': None, 'turbine_fuel_isGas_1': 1, 'turbine_fuel_isGas_2': 1, 'turbine_fuel_isGas_3': 1, 'turbine_fuel_isGas_4': 1, 'turbine_fuel_isGas_5': 1, 'turbine_fuel_isGas_6': 1, 'turbine_power_1_MW': 11.800000000000006, 'turbine_power_2_MW': 11.800000000000006, 'turbine_power_3_MW': 12.547826086956523, 'turbine_power_4_MW': 0, 'turbine_power_5_MW': 0, 'turbine_power_6_MW': 0, 'turbine_power_7_MW': None, 'turbine_power_8_MW': None, 'turbine_power_9_MW': None, 'nuts_id_1': 'ES4', 'nuts_id_2': 'ES30', 'nuts_id_3': 'ES300'};{'end_year': None, 'is_H_gas': 0, 'max_cap_M_m3_per_d': 39.53066666666667, 'max_power_MW': 4.759198727079524, 'max_pressure_bar': 6.4878892733564015, 'num_turb': 0.8055555555555556, 'start_year': None, 'turbine_fuel_isGas_1': 0.5, 'turbine_fuel_isGas_2': 0.5, 'turbine_fuel_isGas_3': 0.5, 'turbine_fuel_isGas_4': 0.5, 'turbine_fuel_isGas_5': 0.5, 'turbine_fuel_isGas_6': 0.5, 'turbine_power_1_MW': 4.32962962962963, 'turbine_power_2_MW': 4.25904761904762, 'turbine_power_3_MW': 4.474732199117832, 'turbine_power_4_MW': 0.5, 'turbine_power_5_MW': 0.5, 'turbine_power_6_MW': 0.5, 'turbine_power_7_MW': None, 'turbine_power_8_MW': None, 'turbine_power_9_MW': None};{'end_year': None, 'is_H_gas': 'raw', 'max_cap_M_m3_per_d': 'Median(max_cap_M_m3_per_d)', 'max_power_MW': 'Lasso(num_turb, turbine_power_4_MW)', 'max_pressure_bar': 'Median(max_pressure_bar)', 'num_turb': 'Median(num_turb)', 'start_year': None, 'turbine_fuel_isGas_1': 'make_Attrib(const)', 'turbine_fuel_isGas_2': 'make_Attrib(const)', 'turbine_fuel_isGas_3': 'make_Attrib(const)', 'turbine_fuel_isGas_4': 'make_Attrib(const)', 'turbine_fuel_isGas_5': 'make_Attrib(const)', 'turbine_fuel_isGas_6': 'make_Attrib(const)', 'turbine_power_1_MW': 'Median(turbine_power_1_MW)', 'turbine_power_2_MW': 'Median(turbine_power_2_MW)', 'turbine_power_3_MW': 'Median(turbine_power_3_MW)', 'turbine_power_4_MW': 'make_Attrib(const)', 'turbine_power_5_MW': 'make_Attrib(const)', 'turbine_power_6_MW': 'make_Attrib(const)', 'turbine_power_7_MW': None, 'turbine_power_8_MW': None, 'turbine_power_9_MW': None};{}
INET_CO_6;Almendralejo;['INET_CO_6'];['INET_N_39'];38.711202;-6.382539;ES;None;{'end_year': None, 'is_H_gas': 1.0, 'max_cap_M_m3_per_d': 37.199999999999996, 'max_power_MW': 38.34752021041664, 'max_pressure_bar': 94.70588235294117, 'num_turb': 3, 'start_year': None, 'turbine_fuel_isGas_1': 1, 'turbine_fuel_isGas_2': 1, 'turbine_fuel_isGas_3': 1, 'turbine_fuel_isGas_4': 1, 'turbine_fuel_isGas_5': 1, 'turbine_fuel_isGas_6': 1, 'turbine_power_1_MW': 11.800000000000006, 'turbine_power_2_MW': 11.800000000000006, 'turbine_power_3_MW': 12.547826086956523, 'turbine_power_4_MW': 0, 'turbine_power_5_MW': 0, 'turbine_power_6_MW': 0, 'turbine_power_7_MW': None, 'turbine_power_8_MW': None, 'turbine_power_9_MW': None, 'nuts_id_1': 'ES4', 'nuts_id_2': 'ES43', 'nuts_id_3': 'ES431'};{'end_year': None, 'is_H_gas': 0, 'max_cap_M_m3_per_d': 39.53066666666667, 'max_power_MW': 4.759198727079524, 'max_pressure_bar': 6.4878892733564015, 'num_turb': 0.8055555555555556, 'start_year': None, 'turbine_fuel_isGas_1': 0.5, 'turbine_fuel_isGas_2': 0.5, 'turbine_fuel_isGas_3': 0.5, 'turbine_fuel_isGas_4': 0.5, 'turbine_fuel_isGas_5': 0.5, 'turbine_fuel_isGas_6': 0.5, 'turbine_power_1_MW': 4.32962962962963, 'turbine_power_2_MW': 4.25904761904762, 'turbine_power_3_MW': 4.474732199117832, 'turbine_power_4_MW': 0.5, 'turbine_power_5_MW': 0.5, 'turbine_power_6_MW': 0.5, 'turbine_power_7_MW': None, 'turbine_power_8_MW': None, 'turbine_power_9_MW': None};{'end_year': None, 'is_H_gas': 'raw', 'max_cap_M_m3_per_d': 'Median(max_cap_M_m3_per_d)', 'max_power_MW': 'Lasso(num_turb, turbine_power_4_MW)', 'max_pressure_bar': 'Median(max_pressure_bar)', 'num_turb': 'Median(num_turb)', 'start_year': None, 'turbine_fuel_isGas_1': 'make_Attrib(const)', 'turbine_fuel_isGas_2': 'make_Attrib(const)', 'turbine_fuel_isGas_3': 'make_Attrib(const)', 'turbine_fuel_isGas_4': 'make_Attrib(const)', 'turbine_fuel_isGas_5': 'make_Attrib(const)', 'turbine_fuel_isGas_6': 'make_Attrib(const)', 'turbine_power_1_MW': 'Median(turbine_power_1_MW)', 'turbine_power_2_MW': 'Median(turbine_power_2_MW)', 'turbine_power_3_MW': 'Median(turbine_power_3_MW)', 'turbine_power_4_MW': 'make_Attrib(const)', 'turbine_power_5_MW': 'make_Attrib(const)', 'turbine_power_6_MW': 'make_Attrib(const)', 'turbine_power_7_MW': None, 'turbine_power_8_MW': None, 'turbine_power_9_MW': None};{}
INET_CO_7;Alphen;['INET_CO_7'];['INET_N_43'];51.482384;4.953307;NL;None;{'end_year': None, 'is_H_gas': 1.0, 'max_cap_M_m3_per_d': 37.199999999999996, 'max_power_MW': 38.34752021041664, 'max_pressure_bar': 94.70588235294117, 'num_turb': 3, 'start_year': None, 'turbine_fuel_isGas_1': 1, 'turbine_fuel_isGas_2': 1, 'turbine_fuel_isGas_3': 1, 'turbine_fuel_isGas_4': 1, 'turbine_fuel_isGas_5': 1, 'turbine_fuel_isGas_6': 1, 'turbine_power_1_MW': 11.800000000000006, 'turbine_power_2_MW': 11.800000000000006, 'turbine_power_3_MW': 12.547826086956523, 'turbine_power_4_MW': 0, 'turbine_power_5_MW': 0, 'turbine_power_6_MW': 0, 'turbine_power_7_MW': None, 'turbine_power_8_MW': None, 'turbine_power_9_MW': None, 'nuts_id_1': 'NL4', 'nuts_id_2': 'NL41', 'nuts_id_3': 'NL412'};{'end_year': None, 'is_H_gas': 0, 'max_cap_M_m3_per_d': 39.53066666666667, 'max_power_MW': 4.759198727079524, 'max_pressure_bar': 6.4878892733564015, 'num_turb': 0.8055555555555556, 'start_year': None, 'turbine_fuel_isGas_1': 0.5, 'turbine_fuel_isGas_2': 0.5, 'turbine_fuel_isGas_3': 0.5, 'turbine_fuel_isGas_4': 0.5, 'turbine_fuel_isGas_5': 0.5, 'turbine_fuel_isGas_6': 0.5, 'turbine_power_1_MW': 4.32962962962963, 'turbine_power_2_MW': 4.25904761904762, 'turbine_power_3_MW': 4.474732199117832, 'turbine_power_4_MW': 0.5, 'turbine_power_5_MW': 0.5, 'turbine_power_6_MW': 0.5, 'turbine_power_7_MW': None, 'turbine_power_8_MW': None, 'turbine_power_9_MW': None};{'end_year': None, 'is_H_gas': 'raw', 'max_cap_M_m3_per_d': 'Median(max_cap_M_m3_per_d)', 'max_power_MW': 'Lasso(num_turb, turbine_power_4_MW)', 'max_pressure_bar': 'Median(max_pressure_bar)', 'num_turb': 'Median(num_turb)', 'start_year': None, 'turbine_fuel_isGas_1': 'make_Attrib(const)', 'turbine_fuel_isGas_2': 'make_Attrib(const)', 'turbine_fuel_isGas_3': 'make_Attrib(const)', 'turbine_fuel_isGas_4': 'make_Attrib(const)', 'turbine_fuel_isGas_5': 'make_Attrib(const)', 'turbine_fuel_isGas_6': 'make_Attrib(const)', 'turbine_power_1_MW': 'Median(turbine_power_1_MW)', 'turbine_power_2_MW': 'Median(turbine_power_2_MW)', 'turbine_power_3_MW': 'Median(turbine_power_3_MW)', 'turbine_power_4_MW': 'make_Attrib(const)', 'turbine_power_5_MW': 'make_Attrib(const)', 'turbine_power_6_MW': 'make_Attrib(const)', 'turbine_power_7_MW': None, 'turbine_power_8_MW': None, 'turbine_power_9_MW': None};{}
INET_CO_8;Alrewas;['INET_CO_8'];['INET_N_45'];52.73869;-1.775613;GB;None;{'end_year': None, 'is_H_gas': 1.0, 'max_cap_M_m3_per_d': 37.199999999999996, 'max_power_MW': 21.6, 'max_pressure_bar': 94.70588235294117, 'num_turb': 2, 'start_year': 1970.0, 'turbine_fuel_isGas_1': 1.0, 'turbine_fuel_isGas_2': 1.0, 'turbine_fuel_isGas_3': 1, 'turbine_fuel_isGas_4': 1, 'turbine_fuel_isGas_5': 1, 'turbine_fuel_isGas_6': 1, 'turbine_power_1_MW': 10.8, 'turbine_power_2_MW': 10.8, 'turbine_power_3_MW': 0, 'turbine_power_4_MW': 0, 'turbine_power_5_MW': 0, 'turbine_power_6_MW': 0, 'turbine_power_7_MW': None, 'turbine_power_8_MW': None, 'turbine_power_9_MW': None, 'nuts_id_1': 'UKG', 'nuts_id_2': 'UKG2', 'nuts_id_3': 'UKG24'};{'end_year': None, 'is_H_gas': 0, 'max_cap_M_m3_per_d': 39.53066666666667, 'max_power_MW': 0, 'max_pressure_bar': 6.4878892733564015, 'num_turb': 0, 'start_year': 0, 'turbine_fuel_isGas_1': 0, 'turbine_fuel_isGas_2': 0, 'turbine_fuel_isGas_3': 0.5, 'turbine_fuel_isGas_4': 0.5, 'turbine_fuel_isGas_5': 0.5, 'turbine_fuel_isGas_6': 0.5, 'turbine_power_1_MW': 5.4, 'turbine_power_2_MW': 5.4, 'turbine_power_3_MW': 0.5, 'turbine_power_4_MW': 0.5, 'turbine_power_5_MW': 0.5, 'turbine_power_6_MW': 0.5, 'turbine_power_7_MW': None, 'turbine_power_8_MW': None, 'turbine_power_9_MW': None};{'end_year': None, 'is_H_gas': 'raw', 'max_cap_M_m3_per_d': 'Median(max_cap_M_m3_per_d)', 'max_power_MW': 'raw', 'max_pressure_bar': 'Median(max_pressure_bar)', 'num_turb': 'raw', 'start_year': 'raw', 'turbine_fuel_isGas_1': 'raw', 'turbine_fuel_isGas_2': 'raw', 'turbine_fuel_isGas_3': 'make_Attrib(const)', 'turbine_fuel_isGas_4': 'make_Attrib(const)', 'turbine_fuel_isGas_5': 'make_Attrib(const)', 'turbine_fuel_isGas_6': 'make_Attrib(const)', 'turbine_power_1_MW': 'M_Internet.set_turbine_power', 'turbine_power_2_MW': 'M_Internet.set_turbine_power', 'turbine_power_3_MW': 'make_Attrib(const)', 'turbine_power_4_MW': 'make_Attrib(const)', 'turbine_power_5_MW': 'make_Attrib(const)', 'turbine_power_6_MW': 'make_Attrib(const)', 'turbine_power_7_MW': None, 'turbine_power_8_MW': None, 'turbine_power_9_MW': None};{}
INET_CO_9;Ananiev;['INET_CO_9'];['INET_N_64'];47.712944;30.016722;UA;None;{'end_year': None, 'is_H_gas': 1.0, 'max_cap_M_m3_per_d': 37.199999999999996, 'max_power_MW': 38.34752021041664, 'max_pressure_bar': 94.70588235294117, 'num_turb': 3, 'start_year': None, 'turbine_fuel_isGas_1': 1, 'turbine_fuel_isGas_2': 1, 'turbine_fuel_isGas_3': 1, 'turbine_fuel_isGas_4': 1, 'turbine_fuel_isGas_5': 1, 'turbine_fuel_isGas_6': 1, 'turbine_power_1_MW': 11.800000000000006, 'turbine_power_2_MW': 11.800000000000006, 'turbine_power_3_MW': 12.547826086956523, 'turbine_power_4_MW': 0, 'turbine_power_5_MW': 0, 'turbine_power_6_MW': 0, 'turbine_power_7_MW': None, 'turbine_power_8_MW': None, 'turbine_power_9_MW': None, 'nuts_id_1': 'UA', 'nuts_id_2': 'UA', 'nuts_id_3': 'UA'};{'end_year': None, 'is_H_gas': 0, 'max_cap_M_m3_per_d': 39.53066666666667, 'max_power_MW': 4.759198727079524, 'max_pressure_bar': 6.4878892733564015, 'num_turb': 0.8055555555555556, 'start_year': None, 'turbine_fuel_isGas_1': 0.5, 'turbine_fuel_isGas_2': 0.5, 'turbine_fuel_isGas_3': 0.5, 'turbine_fuel_isGas_4': 0.5, 'turbine_fuel_isGas_5': 0.5, 'turbine_fuel_isGas_6': 0.5, 'turbine_power_1_MW': 4.32962962962963, 'turbine_power_2_MW': 4.25904761904762, 'turbine_power_3_MW': 4.474732199117832, 'turbine_power_4_MW': 0.5, 'turbine_power_5_MW': 0.5, 'turbine_power_6_MW': 0.5, 'turbine_power_7_MW': None, 'turbine_power_8_MW': None, 'turbine_power_9_MW': None};{'end_year': None, 'is_H_gas': 'raw', 'max_cap_M_m3_per_d': 'Median(max_cap_M_m3_per_d)', 'max_power_MW': 'Lasso(num_turb, turbine_power_4_MW)', 'max_pressure_bar': 'Median(max_pressure_bar)', 'num_turb': 'Median(num_turb)', 'start_year': None, 'turbine_fuel_isGas_1': 'make_Attrib(const)', 'turbine_fuel_isGas_2': 'make_Attrib(const)', 'turbine_fuel_isGas_3': 'make_Attrib(const)', 'turbine_fuel_isGas_4': 'make_Attrib(const)', 'turbine_fuel_isGas_5': 'make_Attrib(const)', 'turbine_fuel_isGas_6': 'make_Attrib(const)', 'turbine_power_1_MW': 'Median(turbine_power_1_MW)', 'turbine_power_2_MW': 'Median(turbine_power_2_MW)', 'turbine_power_3_MW': 'Median(turbine_power_3_MW)', 'turbine_power_4_MW': 'make_Attrib(const)', 'turbine_power_5_MW': 'make_Attrib(const)', 'turbine_power_6_MW': 'make_Attrib(const)', 'turbine_power_7_MW': None, 'turbine_power_8_MW': None, 'turbine_power_9_MW': None};{}
