id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
INET_CS_0;Aalst 1;['INET_CS_0'];['INET_N_1'];50.936;4.0355;BE;None;{'capacity_E_MW': 43.0, 'capacity_TH_MW': 192.98456387891773, 'end_year': None, 'is_H_gas': 1, 'is_gas_fuel1': 1.0, 'max_demand_M_m3_per_d': 4, 'start_year': None, 'nuts_id_1': 'BE2', 'nuts_id_2': 'BE23', 'nuts_id_3': 'BE231'};{'capacity_E_MW': 0, 'capacity_TH_MW': 191.7364897822353, 'end_year': None, 'is_H_gas': 0.5, 'is_gas_fuel1': 0, 'max_demand_M_m3_per_d': 0, 'start_year': None};{'capacity_E_MW': 'raw', 'capacity_TH_MW': 'Lasso(capacity_E_MW, est_generation_GWh)', 'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'is_gas_fuel1': 'raw', 'max_demand_M_m3_per_d': 'make_Attrib(const)', 'start_year': None};{}
INET_CS_1;Aalst 2;['INET_CS_1'];['INET_N_1'];50.936;4.0355;BE;None;{'capacity_E_MW': 5.0, 'capacity_TH_MW': 177.76163542903964, 'end_year': None, 'is_H_gas': 1, 'is_gas_fuel1': 1.0, 'max_demand_M_m3_per_d': 4, 'start_year': None, 'nuts_id_1': 'BE2', 'nuts_id_2': 'BE23', 'nuts_id_3': 'BE231'};{'capacity_E_MW': 0, 'capacity_TH_MW': 191.7364897822353, 'end_year': None, 'is_H_gas': 0.5, 'is_gas_fuel1': 0, 'max_demand_M_m3_per_d': 0, 'start_year': None};{'capacity_E_MW': 'raw', 'capacity_TH_MW': 'Lasso(capacity_E_MW, est_generation_GWh)', 'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'is_gas_fuel1': 'raw', 'max_demand_M_m3_per_d': 'make_Attrib(const)', 'start_year': None};{}
INET_CS_2;Aberthaw;['INET_CS_2'];['INET_N_3'];51.3875;-3.4068;GB;None;{'capacity_E_MW': 51.0, 'capacity_TH_MW': 206.85391719296427, 'end_year': None, 'is_H_gas': 1, 'is_gas_fuel1': 1.0, 'max_demand_M_m3_per_d': 4, 'start_year': None, 'nuts_id_1': 'UKL', 'nuts_id_2': 'UKL2', 'nuts_id_3': 'UKL22'};{'capacity_E_MW': 0, 'capacity_TH_MW': 195.95528745261498, 'end_year': None, 'is_H_gas': 0.5, 'is_gas_fuel1': 0, 'max_demand_M_m3_per_d': 0, 'start_year': None};{'capacity_E_MW': 'raw', 'capacity_TH_MW': 'Lasso(capacity_E_MW)', 'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'is_gas_fuel1': 'raw', 'max_demand_M_m3_per_d': 'make_Attrib(const)', 'start_year': None};{}
INET_CS_3;Aceca 3;['INET_CS_3'];['INET_N_5'];39.94345;-3.8553;ES;GEO_43789;{'capacity_E_MW': 400.0, 'capacity_TH_MW': 397.40523010460487, 'end_year': None, 'is_H_gas': 1, 'is_gas_fuel1': 1.0, 'max_demand_M_m3_per_d': 4, 'start_year': 2005.0, 'nuts_id_1': 'ES4', 'nuts_id_2': 'ES42', 'nuts_id_3': 'ES425'};{'capacity_E_MW': 0, 'capacity_TH_MW': 195.95528745261498, 'end_year': None, 'is_H_gas': 0.5, 'is_gas_fuel1': 0, 'max_demand_M_m3_per_d': 0, 'start_year': 0};{'capacity_E_MW': 'raw', 'capacity_TH_MW': 'Lasso(capacity_E_MW)', 'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'is_gas_fuel1': 'raw', 'max_demand_M_m3_per_d': 'make_Attrib(const)', 'start_year': 'raw'};{}
INET_CS_4;Aceca 4;['INET_CS_4'];['INET_N_5'];39.94345;-3.8553;ES;GEO_43788;{'capacity_E_MW': 758.74, 'capacity_TH_MW': 503.60531974688536, 'end_year': None, 'is_H_gas': 1, 'is_gas_fuel1': 1.0, 'max_demand_M_m3_per_d': 4, 'start_year': 2006.0, 'nuts_id_1': 'ES4', 'nuts_id_2': 'ES42', 'nuts_id_3': 'ES425'};{'capacity_E_MW': 0, 'capacity_TH_MW': 191.7364897822353, 'end_year': None, 'is_H_gas': 0.5, 'is_gas_fuel1': 0, 'max_demand_M_m3_per_d': 0, 'start_year': 0};{'capacity_E_MW': 'raw', 'capacity_TH_MW': 'Lasso(capacity_E_MW, est_generation_GWh)', 'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'is_gas_fuel1': 'raw', 'max_demand_M_m3_per_d': 'make_Attrib(const)', 'start_year': 'raw'};{}
INET_CS_6;Aghada 1;['INET_CS_6'];['INET_N_1791'];51.828495;-8.241164;IE;GEO_43925;{'capacity_E_MW': 963.0, 'capacity_TH_MW': 704.7988953460194, 'end_year': None, 'is_H_gas': 1, 'is_gas_fuel1': 1.0, 'max_demand_M_m3_per_d': 4, 'start_year': 1980.0, 'nuts_id_1': 'IE0', 'nuts_id_2': 'IE05', 'nuts_id_3': 'IE053'};{'capacity_E_MW': 0, 'capacity_TH_MW': 195.95528745261498, 'end_year': None, 'is_H_gas': 0.5, 'is_gas_fuel1': 0, 'max_demand_M_m3_per_d': 0, 'start_year': 0};{'capacity_E_MW': 'raw', 'capacity_TH_MW': 'Lasso(capacity_E_MW)', 'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'is_gas_fuel1': 'raw', 'max_demand_M_m3_per_d': 'make_Attrib(const)', 'start_year': 'raw'};{}
INET_CS_7;Aghada 2;['INET_CS_7'];['INET_N_1791'];51.828495;-8.241164;IE;None;{'capacity_E_MW': 528.0, 'capacity_TH_MW': 395.11147548419325, 'end_year': None, 'is_H_gas': 1, 'is_gas_fuel1': 1.0, 'max_demand_M_m3_per_d': 4, 'start_year': None, 'nuts_id_1': 'IE0', 'nuts_id_2': 'IE05', 'nuts_id_3': 'IE053'};{'capacity_E_MW': 0, 'capacity_TH_MW': 191.7364897822353, 'end_year': None, 'is_H_gas': 0.5, 'is_gas_fuel1': 0, 'max_demand_M_m3_per_d': 0, 'start_year': None};{'capacity_E_MW': 'raw', 'capacity_TH_MW': 'Lasso(capacity_E_MW, est_generation_GWh)', 'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'is_gas_fuel1': 'raw', 'max_demand_M_m3_per_d': 'make_Attrib(const)', 'start_year': None};{}
INET_CS_8;Aghada 3;['INET_CS_8'];['INET_N_1791'];51.828495;-8.241164;IE;None;{'capacity_E_MW': 435.0, 'capacity_TH_MW': 356.4754609092653, 'end_year': None, 'is_H_gas': 1, 'is_gas_fuel1': 1.0, 'max_demand_M_m3_per_d': 4, 'start_year': None, 'nuts_id_1': 'IE0', 'nuts_id_2': 'IE05', 'nuts_id_3': 'IE053'};{'capacity_E_MW': 0, 'capacity_TH_MW': 191.7364897822353, 'end_year': None, 'is_H_gas': 0.5, 'is_gas_fuel1': 0, 'max_demand_M_m3_per_d': 0, 'start_year': None};{'capacity_E_MW': 'raw', 'capacity_TH_MW': 'Lasso(capacity_E_MW, est_generation_GWh)', 'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'is_gas_fuel1': 'raw', 'max_demand_M_m3_per_d': 'make_Attrib(const)', 'start_year': None};{}
INET_CS_9;Agios Georgiou;['INET_CS_9'];['INET_N_16'];37.9539;23.6104;GR;None;{'capacity_E_MW': 360.0, 'capacity_TH_MW': 333.1045433774388, 'end_year': None, 'is_H_gas': 1, 'is_gas_fuel1': 1.0, 'max_demand_M_m3_per_d': 4, 'start_year': 1968.0, 'nuts_id_1': 'GR', 'nuts_id_2': 'GR', 'nuts_id_3': 'GR'};{'capacity_E_MW': 0, 'capacity_TH_MW': 191.7364897822353, 'end_year': None, 'is_H_gas': 0.5, 'is_gas_fuel1': 0, 'max_demand_M_m3_per_d': 0, 'start_year': 0};{'capacity_E_MW': 'raw', 'capacity_TH_MW': 'Lasso(capacity_E_MW, est_generation_GWh)', 'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'is_gas_fuel1': 'raw', 'max_demand_M_m3_per_d': 'make_Attrib(const)', 'start_year': 'raw'};{}
INET_CS_11;Alessandro Volta;['INET_CS_11'];['INET_N_30'];42.3572;11.5373;IT;GEO_43996;{'capacity_E_MW': 3600.0, 'capacity_TH_MW': 1712.9694239244493, 'end_year': None, 'is_H_gas': 1, 'is_gas_fuel1': 1.0, 'max_demand_M_m3_per_d': 4, 'start_year': 1997.0, 'nuts_id_1': 'ITI', 'nuts_id_2': 'ITI4', 'nuts_id_3': 'ITI41'};{'capacity_E_MW': 0, 'capacity_TH_MW': 191.7364897822353, 'end_year': None, 'is_H_gas': 0.5, 'is_gas_fuel1': 0, 'max_demand_M_m3_per_d': 0, 'start_year': 0};{'capacity_E_MW': 'raw', 'capacity_TH_MW': 'Lasso(capacity_E_MW, est_generation_GWh)', 'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'is_gas_fuel1': 'raw', 'max_demand_M_m3_per_d': 'make_Attrib(const)', 'start_year': 'raw'};{}
