id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
INET_SR_0;7Fields;['INET_SR_0'];['INET_N_1173'];47.96201;13.356613;AT;Storage Capacity connected to Germany and Austria;{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 14.234480837472395, 'max_cap_store2pipe_M_m3_per_d': 21.35172125620859, 'max_workingGas_M_m3': 1708.0497247189528, 'start_year': 2011.0, 'nuts_id_1': 'AT3', 'nuts_id_2': 'AT32', 'nuts_id_3': 'AT323'};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 0.0, 'start_year': 0};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'start_year': 'raw'};{}
INET_SR_1;Aigelsbrunn;['INET_SR_1'];['INET_N_20'];47.981978;13.312084;AT;None;{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 1.1964705771917463, 'max_cap_store2pipe_M_m3_per_d': 1.1964705771917463, 'max_workingGas_M_m3': 129.32439326999025, 'start_year': 2011.0, 'nuts_id_1': 'AT3', 'nuts_id_2': 'AT32', 'nuts_id_3': 'AT323'};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 0.0, 'start_year': 0};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'start_year': 'raw'};{}
INET_SR_5;Alkmaar;['INET_SR_5'];['INET_N_37'];52.645095;4.730768;NL;"Grijpskerk, Norg (NAM) and Alkmaar (TAQA) = Groningen System; No longer offering capacity, to be considered as a production facility.";{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 3.4838407982936146, 'max_cap_store2pipe_M_m3_per_d': 31.363364762415998, 'max_workingGas_M_m3': 435.6032658755304, 'start_year': 1997.0, 'nuts_id_1': 'NL3', 'nuts_id_2': 'NL32', 'nuts_id_3': 'NL328'};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 0.0, 'start_year': 0};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'start_year': 'raw'};{}
INET_SR_6;Allmenhausen;['INET_SR_6'];['INET_N_38'];51.219587;10.702464;DE;None;{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 5.561973783071849, 'max_cap_store2pipe_M_m3_per_d': 1.4516003326223395, 'max_workingGas_M_m3': 60.52733508146482, 'start_year': 1996.0, 'nuts_id_1': 'DEG', 'nuts_id_2': 'DEG0', 'nuts_id_3': 'DEG09'};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 6.123910765073631, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 0.0, 'start_year': 0};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'Median(max_cap_pipe2store_M_m3_per_d)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'start_year': 'raw'};{}
INET_SR_8;Atwick;['INET_SR_8'];['INET_N_693'];53.946568;-0.207528;GB;None;{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 5.561973783071849, 'max_cap_store2pipe_M_m3_per_d': 8.256321189517855, 'max_workingGas_M_m3': 229.96868299847245, 'start_year': None, 'nuts_id_1': 'UKE', 'nuts_id_2': 'UKE1', 'nuts_id_3': 'UKE12'};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 6.123910765073631, 'max_cap_store2pipe_M_m3_per_d': 8.838484320133988, 'max_workingGas_M_m3': 0.0, 'start_year': None};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'Median(max_cap_pipe2store_M_m3_per_d)', 'max_cap_store2pipe_M_m3_per_d': 'Median(max_cap_store2pipe_M_m3_per_d)', 'max_workingGas_M_m3': 'raw', 'start_year': None};{}
INET_SR_9;Bad Lauchstaedt;['INET_SR_9'];['INET_N_115'];51.430367;11.833526;DE;None;{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 5.561973783071849, 'max_cap_store2pipe_M_m3_per_d': 8.256321189517855, 'max_workingGas_M_m3': 275.8213064506811, 'start_year': 1975.0, 'nuts_id_1': 'DEE', 'nuts_id_2': 'DEE0', 'nuts_id_3': 'DEE0B'};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 6.123910765073631, 'max_cap_store2pipe_M_m3_per_d': 8.838484320133988, 'max_workingGas_M_m3': 494.119477493205, 'start_year': 0};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'Median(max_cap_pipe2store_M_m3_per_d)', 'max_cap_store2pipe_M_m3_per_d': 'Median(max_cap_store2pipe_M_m3_per_d)', 'max_workingGas_M_m3': 'Median(max_workingGas_M_m3)', 'start_year': 'raw'};{}
INET_SR_11;Balaceanca;['INET_SR_11'];['INET_N_126'];44.389969;26.310924;RO;None;{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 5.561973783071849, 'max_cap_store2pipe_M_m3_per_d': 8.256321189517855, 'max_workingGas_M_m3': 47.56850302114539, 'start_year': 1992.0, 'nuts_id_1': 'RO3', 'nuts_id_2': 'RO31', 'nuts_id_3': 'RO322'};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 6.123910765073631, 'max_cap_store2pipe_M_m3_per_d': 8.838484320133988, 'max_workingGas_M_m3': 0.0, 'start_year': 0};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'Median(max_cap_pipe2store_M_m3_per_d)', 'max_cap_store2pipe_M_m3_per_d': 'Median(max_cap_store2pipe_M_m3_per_d)', 'max_workingGas_M_m3': 'raw', 'start_year': 'raw'};{}
INET_SR_12;Banatski Dvor;['INET_SR_12'];['INET_N_137'];45.537223;20.47481;RS;None;{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 3.3870674427854586, 'max_cap_store2pipe_M_m3_per_d': 4.838667775407798, 'max_workingGas_M_m3': 435.4800997867019, 'start_year': 2011.0, 'nuts_id_1': 'RS1', 'nuts_id_2': 'RS12', 'nuts_id_3': 'RS126'};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 0.0, 'start_year': 0};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'start_year': 'raw'};{}
INET_SR_13;Bergermeer;['INET_SR_13'];['INET_N_37'];52.645095;4.730768;NL;None;{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 41.15506882428669, 'max_cap_store2pipe_M_m3_per_d': 55.820630972659046, 'max_workingGas_M_m3': 4011.6954647017383, 'start_year': 2015.0, 'nuts_id_1': 'NL3', 'nuts_id_2': 'NL32', 'nuts_id_3': 'NL328'};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 0.0, 'start_year': 0};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'start_year': 'raw'};{}
INET_SR_14;Berlin;['INET_SR_14'];['INET_N_172'];52.513276;13.224641;DE;None;{'end_year': None, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 2.8152248875099914, 'max_cap_store2pipe_M_m3_per_d': 5.269749086307765, 'max_workingGas_M_m3': 146.47966992825425, 'start_year': 1992.0, 'nuts_id_1': 'DE4', 'nuts_id_2': 'DE40', 'nuts_id_3': 'DE300'};{'end_year': None, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 0.0, 'start_year': 0};{'end_year': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'start_year': 'raw'};{}
