	space_heat_load_in_GW							
2011-01-01 00:00:00	2,26942637066747		Enero	12386,32	2		Total	58252,45
2011-01-01 00:15:00	2,13131550916781				2977			
2011-01-01 00:30:00	2,37571449685645		febrero	12946,90	2978		Enero	0,21
2011-01-01 00:45:00	2,5481555881542				5665		febrero	0,22
2011-01-01 01:00:00	2,33885729354209		marzo	8536,45	5666		marzo	0,15
2011-01-01 01:15:00	2,35353485396175				8641		abril	0,03
2011-01-01 01:30:00	2,41518871059345		abril	1585,21	8642		mayo	0,02
2011-01-01 01:45:00	2,55041238704496				11521		junio	0,00
2011-01-01 02:00:00	2,64821270837869		mayo	1011,31	11522		julio	0,00
2011-01-01 02:15:00	2,61725600133942				14497		agosto	0,00
2011-01-01 02:30:00	2,73735781644404		junio	0,22	14498		septiembre	0,00
2011-01-01 02:45:00	2,85076480878604				17377		octubre	0,07
2011-01-01 03:00:00	3,09726536253489		julio	1,12	17378		noviembre	0,15
2011-01-01 03:15:00	2,95078670350701				20353		diciembre	0,16
2011-01-01 03:30:00	3,01286096034552		agosto	0,33	20354			
2011-01-01 03:45:00	3,27674067612989				23329			100,00 %
2011-01-01 04:00:00	3,134538739329		septiembre	22,60	23330			
2011-01-01 04:15:00	3,27163548141884				26209			
2011-01-01 04:30:00	3,13164228517637		octubre	3933,48	26210			
2011-01-01 04:45:00	3,10767260916956				29185			
2011-01-01 05:00:00	3,39152194292146		noviembre	8753,89	29186			
2011-01-01 05:15:00	4,43334734662904				32065			
2011-01-01 05:30:00	6,41557378356121		diciembre	9074,64	32066			
2011-01-01 05:45:00	7,74877423280944				35041			
2011-01-01 06:00:00	8,46429457399152							
2011-01-01 06:15:00	9,95607546158947							
2011-01-01 06:30:00	11,4259558454584							
2011-01-01 06:45:00	9,21334578103408							
2011-01-01 07:00:00	7,54637939905745							
2011-01-01 07:15:00	7,69902956289111							
2011-01-01 07:30:00	10,1758272218662							
2011-01-01 07:45:00	9,06164855420487							
2011-01-01 08:00:00	9,06628537526888							
2011-01-01 08:15:00	8,78801149154426							
2011-01-01 08:30:00	9,83111746555056							
2011-01-01 08:45:00	9,76313069070787							
2011-01-01 09:00:00	9,35866035772207							
2011-01-01 09:15:00	8,28231425554187							
2011-01-01 09:30:00	8,09485806868877							
2011-01-01 09:45:00	7,69602796834566							
2011-01-01 10:00:00	7,34527489577903							
2011-01-01 10:15:00	7,48290195949254							
2011-01-01 10:30:00	6,79377450601385							
2011-01-01 10:45:00	6,97048946221946							
2011-01-01 11:00:00	6,53120959934015							
2011-01-01 11:15:00	6,67486831278325							
2011-01-01 11:30:00	6,12455636965906							
2011-01-01 11:45:00	6,15570233038591							
2011-01-01 12:00:00	5,70200539126189							
2011-01-01 12:15:00	5,04133723130792							
2011-01-01 12:30:00	5,2573734437519							
2011-01-01 12:45:00	5,00867749042548							
2011-01-01 13:00:00	5,00045667740531							
2011-01-01 13:15:00	4,67354261529779							
2011-01-01 13:30:00	5,12667373824668							
2011-01-01 13:45:00	4,44291777336775							
2011-01-01 14:00:00	4,14893315432733							
2011-01-01 14:15:00	4,09264110641764							
2011-01-01 14:30:00	3,98805672276009							
2011-01-01 14:45:00	3,97771404928291							
2011-01-01 15:00:00	3,84287522336049							
2011-01-01 15:15:00	3,85354857042182							
2011-01-01 15:30:00	4,01289391804694							
2011-01-01 15:45:00	4,48466195575582							
2011-01-01 16:00:00	4,63568550430204							
2011-01-01 16:15:00	4,5794051851468							
2011-01-01 16:30:00	4,13556076900277							
2011-01-01 16:45:00	4,00759975415314							
2011-01-01 17:00:00	4,14461306365809							
2011-01-01 17:15:00	3,85134129189458							
2011-01-01 17:30:00	3,82900809937734							
2011-01-01 17:45:00	4,28524200150076							
