nuts3,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8,Period 9,Period 10,Period 11,Period 12
DEF01,0.18037947635816864,0.17615894990535186,0.1427543608542561,0.09349345624204736,0.03481271191239162,0.003687483634081373,2.9307854834337375e-05,0.0011914685140777953,0.015134154425434664,0.0673599326629497,0.12287062909182285,0.16212806854458348
DEF02,0.18092835878670782,0.17667367599558964,0.14302880618621086,0.09341079975348392,0.03440061459772693,0.003542805303486865,1.7841108331677017e-05,0.0010444732469443256,0.014350914974677968,0.06705796081423018,0.1230009302468284,0.1625428189857813
DEF03,0.19025875550031585,0.18185027613491206,0.13972466714062362,0.08277484056192758,0.021836435395461522,0.0017993075324178774,7.488216693854038e-17,0.0006103290627368638,0.012264439095333172,0.06824705746083916,0.12945235944907352,0.1711815326663585
DEF04,0.1880949554355269,0.18066148194229514,0.14016701214599908,0.08526114774378801,0.024378176320819955,0.0021193294264080773,-5.5488959890935144e-18,0.0007314657967308456,0.012926915081969196,0.06836115158180209,0.12793490111695052,0.1693634634077101
DEC01,0.19386819294701432,0.17889743654918397,0.12951174292210804,0.07581074118144229,0.01907536922910872,0.0015133775492698026,-1.6267390862892684e-16,0.0005316390555416079,0.012240019680580807,0.07143381160767774,0.13755830672247396,0.1795593625555985
DEC02,0.19294695892131022,0.1797988512696621,0.1300955144295271,0.0766503524684016,0.019459094802923606,0.001552957734658182,-2.4336541422671842e-17,0.0005931564332220267,0.012436852286617839,0.07073935075966538,0.13666772987031645,0.17905918102369567
DEC03,0.19264066903908414,0.17791230989551568,0.12929387951606228,0.07644025043795644,0.020355165016164127,0.001686434851313823,4.0220384307140966e-17,0.0006924662318556247,0.013152607024324164,0.0720517531543277,0.13721470293132348,0.17855976190207248
DEC04,0.19279184885440676,0.17802713900300626,0.129294204276616,0.07632898193546934,0.02021503740272377,0.0016683035435851648,-7.751960548619091e-17,0.0006912421674990082,0.013125937124435313,0.07194667353631497,0.13723380591272324,0.17867682624322004
DEC05,0.19234231770718965,0.17766924677175225,0.12922613181671078,0.07657034481146519,0.020654621384244475,0.0017272438570653877,-4.836377920141818e-18,0.0007461692914373704,0.013443508007722805,0.072188751308703,0.13711823153490987,0.1783134335087993
DEC06,0.19170066400506788,0.17714788228662395,0.1290860705334636,0.07685571117575463,0.021286525471079818,0.0018131414981518077,1.3130901753034224e-17,0.0008593800459937473,0.014059252967802164,0.07249072728481767,0.1369156945402402,0.1777849501910048
